Station Name,Local Authority,Zone
Aldgate,City of London,1
Aldgate East,Tower Hamlets,1
Angel,Islington,1
Baker Street,Westminster,1
Bank,City of London,1
Barbican,City of London,1
Bayswater,Westminster,1
Blackfriars,City of London,1
Bond Street,Westminster,1
Borough,Southwark,1
Cannon Street,City of London,1
Chancery Lane,Camden,1
Charing Cross,Westminster,1
Covent Garden,Westminster,1
Earl's Court,Kensington & Chelsea,1
Edgware Road,Westminster,1
Elephant & Castle,Southwark,1
Embankment,Westminster,1
Euston,Camden,1
Euston Square,Camden,1
Farringdon,Islington,1
Gloucester Road,Kensington & Chelsea,1
Goodge Street,Camden,1
Great Portland Street,Westminster,1
Green Park,Westminster,1
High Street Kensington,Kensington & Chelsea,1
Holborn,Camden,1
Hyde Park Corner,Westminster,1
King's Cross St Pancras,Camden,1
Knightsbridge,Kensington & Chelsea,1
Lambeth North,Lambeth,1
Lancaster Gate,Westminster,1
Leicester Square,Westminster,1
Liverpool Street,City of London,1
London Bridge,Southwark,1
Mansion House,City of London,1
Marble Arch,Westminster,1
Marylebone,Westminster,1
Monument,City of London,1
Moorgate,City of London,1
Notting Hill Gate,Kensington & Chelsea,1
Old Street,Islington,1
Oxford Circus,Westminster,1
Paddington,Westminster,1
Piccadilly Circus,Westminster,1
Pimlico,Westminster,1
Queensway,Westminster,1
Regent's Park,Westminster,1
Russell Square,Camden,1
Sloane Square,Kensington & Chelsea,1
South Kensington,Kensington & Chelsea,1
Southwark,Southwark,1
St James's Park,Westminster,1
St Paul's,City of London,1
Temple,Westminster,1
Tottenham Court Road,Westminster,1
Tower Hill,Tower Hamlets,1
Vauxhall,Lambeth,1
Victoria,Westminster,1
Warren Street,Camden,1
Waterloo,Lambeth,1
Westminster,Westminster,1
Archway,Islington,2
Arsenal,Islington,2
Barons Court,Hammersmith and Fulham,2
Belsize Park,Camden,2
Bermondsey,Southwark,2
Bethnal Green,Tower Hamlets,2
Bow Road,Tower Hamlets,2
Brixton,Lambeth,2
Bromley-by-Bow,Tower Hamlets,2
Caledonian Road,Islington,2
Camden Town,Camden,2
Canada Water,Southwark,2
Canary Wharf,Tower Hamlets,2
Canning Town,Newham,2
Chalk Farm,Camden,2
Clapham Common,Lambeth,2
Clapham North,Lambeth,2
Clapham South,Wandsworth,2
Earl's Court,Kensington and Chelsea,2
East Acton,Hammersmith and Fulham,2
East Putney,Wandsworth,2
Elephant & Castle,Southwark,2
Finchley Road,Camden,2
Finsbury Park,Islington,2
Fulham Broadway,Hammersmith and Fulham,2
Goldhawk Road,Hammersmith and Fulham,2
Hammersmith,Hammersmith and Fulham,2
Hampstead,Camden,2
Highbury & Islington,Islington,2
Holland Park,Kensington and Chelsea,2
Holloway Road,Islington,2
Kennington,Lambeth,2
Kensal Green,Brent,2
Kentish Town,Camden,2
Kilburn,Brent,2
Kilburn Park,Brent,2
Ladbroke Grove,Kensington and Chelsea,2
Latimer Road,Kensington and Chelsea,2
Maida Vale,Westminster,2
Manor House,Hackney,2
Mile End,Tower Hamlets,2
Mornington Crescent,Camden,2
North Acton,Ealing,2
North Greenwich,Greenwich,2
Notting Hill Gate,Kensington and Chelsea,2
Oval,Lambeth,2
Parsons Green,Hammersmith and Fulham,2
Putney Bridge,Hammersmith and Fulham,2
Queen's Park,Brent,2
Ravenscourt Park,Hammersmith and Fulham,2
Royal Oak,Westminster,2
Shepherd's Bush,Hammersmith and Fulham,2
Shepherd's Bush Market,Hammersmith and Fulham,2
St. John's Wood,Westminster,2
Stamford Brook,Hounslow,2
Stepney Green,Tower Hamlets,2
Stockwell,Lambeth,2
Stratford,Newham,2
Swiss Cottage,Camden,2
Tufnell Park,Islington,2
Turnham Green,Hounslow,2
Vauxhall,Lambeth,2
Warwick Avenue,Westminster,2
West Brompton,Kensington and Chelsea,2
West Ham,Newham,2
West Hampstead,Camden,2
West Kensington,Kensington and Chelsea,2
Westbourne Park,Westminster,2
Whitechapel,Tower Hamlets,2
White City,Hammersmith and Fulham,2
Willesden Green,Brent,2
Willesden Junction,Brent,2
Wood Lane,Hammersmith and Fulham,2